ID,Rating [Rogue One/Star Wars],Rating [Fight Club],Rating [The Lord of the Rings],Rating [Trolls],Rating [Despicable Me],Rating [Kubo],Rating [The hangover],Rating [Captain America],Rating [The big Lebowski],Rating [Almost famous],Rating [The hunger games],Rating [Pulp Fiction],Rating [Sing ],Rating [500 days of Summer],Rating [Twilight],Rating [Lala Land],Rating [A Fantastic Woman],Rating [Loveless],Rating [The Insult],Rating [The Square]
603,N/A,N/A,4,N/A,5,N/A,3,N/A,N/A,N/A,4,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
604,3,5,5,N/A,4,N/A,5,3,N/A,3,N/A,5,4,N/A,4,5,N/A,N/A,N/A,N/A
609,N/A,N/A,5,N/A,4,N/A,3,5,N/A,N/A,4,N/A,N/A,N/A,1,3,N/A,N/A,N/A,N/A
610,5,4,5,2,4,5,5,4,N/A,N/A,5,N/A,N/A,5,5,4,N/A,N/A,N/A,2
611,N/A,N/A,5,N/A,4,N/A,5,5,N/A,N/A,5,N/A,N/A,5,3,5,N/A,N/A,N/A,N/A
612,3,N/A,5,5,5,N/A,4,5,N/A,N/A,5,N/A,2,N/A,4,5,4,4,4,N/A
613,N/A,N/A,5,5,5,5,5,5,N/A,5,4,4,5,5,3,4,5,5,5,5
615,4,5,4,N/A,5,N/A,N/A,4,N/A,N/A,N/A,N/A,3,4,2,3,N/A,N/A,3,4
618,3,N/A,4,N/A,5,N/A,4,5,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,5
619,3,N/A,4,N/A,N/A,3,3,4,N/A,N/A,3,N/A,3,N/A,1,4,N/A,N/A,N/A,N/A
623,N/A,N/A,4,N/A,4,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
624,N/A,5,5,N/A,N/A,N/A,2,4,N/A,N/A,3,5,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A
625,4,5,5,N/A,5,N/A,4,4,5,N/A,3,5,N/A,5,3,5,N/A,N/A,N/A,N/A
627,N/A,N/A,5,N/A,4,N/A,2,5,N/A,N/A,3,N/A,N/A,2,1,N/A,N/A,N/A,N/A,N/A
638,N/A,N/A,2,N/A,N/A,N/A,N/A,1,N/A,N/A,2,N/A,N/A,4,N/A,2,N/A,N/A,N/A,N/A
640,5,N/A,5,5,5,N/A,N/A,5,N/A,N/A,N/A,5,N/A,5,4,N/A,N/A,N/A,N/A,N/A
642,4,3,4,3,4,2,3,4,3,N/A,4,2,2,3,5,4,4,3,3,4
649,N/A,5,3,N/A,4,N/A,3,4,N/A,N/A,N/A,4,1,N/A,1,N/A,N/A,N/A,N/A,N/A
655,4,4,4,N/A,4,N/A,5,5,N/A,N/A,3,N/A,N/A,N/A,5,3,4,N/A,N/A,N/A
658,N/A,5,3,N/A,N/A,N/A,4,4,4,N/A,4,5,N/A,5,1,N/A,N/A,N/A,N/A,N/A
660,N/A,N/A,4,4,4,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A
663,N/A,N/A,5,N/A,4,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,5,5,N/A,N/A,N/A,N/A
665,2,N/A,2,4,3,N/A,4,4,N/A,N/A,4,N/A,4,5,3,2,N/A,N/A,N/A,N/A
669,3,3,4,4,5,N/A,4,N/A,N/A,4,3,N/A,N/A,5,4,3,4,N/A,N/A,N/A
674,N/A,N/A,N/A,5,5,N/A,5,N/A,N/A,4,N/A,4,5,5,3,4,N/A,N/A,N/A,N/A
676,N/A,5,4,N/A,3,N/A,5,5,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
680,N/A,4,4,N/A,N/A,N/A,4,4,N/A,N/A,4,5,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
694,4,5,5,3,4,N/A,4,2,N/A,N/A,4,3,4,N/A,4,N/A,2,2,2,2
695,4,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
696,N/A,N/A,N/A,N/A,5,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,4,5,N/A,N/A,N/A,N/A
709,N/A,2,5,4,5,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,5,4,4,5,4,N/A
711,4,4,3,2,3,3,4,5,2,4,4,3,3,3,5,3,3,3,2,3
712,N/A,5,4,N/A,3,N/A,4,5,N/A,N/A,4,N/A,N/A,N/A,4,5,N/A,N/A,N/A,N/A
713,3,5,5,N/A,4,4,4,4,N/A,N/A,2,5,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A
719,N/A,N/A,5,4,5,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,5,3,N/A,N/A,N/A,N/A
725,N/A,5,5,N/A,4,N/A,5,5,N/A,N/A,4,5,4,N/A,2,N/A,N/A,N/A,N/A,N/A
726,N/A,N/A,5,N/A,5,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,3,4,N/A,N/A,N/A,N/A,N/A
727,4,3,5,5,3,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
729,N/A,N/A,3,N/A,4,N/A,5,4,N/A,N/A,2,N/A,N/A,N/A,4,1,N/A,N/A,N/A,N/A
731,5,N/A,5,N/A,5,4,3,5,N/A,N/A,4,5,N/A,5,3,5,5,N/A,N/A,N/A
732,5,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
733,4,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
737,1,N/A,2,N/A,1,N/A,2,1,N/A,N/A,3,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
745,5,5,5,N/A,N/A,N/A,4,4,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
746,N/A,5,5,4,5,5,5,5,N/A,N/A,2,5,4,N/A,2,2,N/A,N/A,N/A,N/A
748,5,N/A,5,N/A,5,4,4,5,N/A,N/A,3,5,5,N/A,3,3,N/A,N/A,N/A,N/A
749,3,5,4,1,1,5,2,4,3,N/A,4,5,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
751,4,4,4,2,5,N/A,2,3,N/A,N/A,N/A,3,N/A,2,1,1,N/A,N/A,N/A,N/A
753,N/A,3,5,5,5,N/A,4,5,N/A,N/A,5,4,N/A,N/A,4,4,N/A,N/A,N/A,N/A
754,4,N/A,5,N/A,5,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
755,4,4,5,4,4,N/A,4,4,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
760,4,N/A,4,3,4,4,5,5,N/A,3,4,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
766,5,5,4,3,3,3,4,5,N/A,N/A,3,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
767,N/A,5,N/A,N/A,5,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,3,5,N/A,N/A,N/A,N/A
771,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,3,4,N/A,N/A,N/A,N/A
772,N/A,4,5,N/A,4,5,4,4,N/A,N/A,4,N/A,5,4,3,4,N/A,N/A,N/A,N/A
779,N/A,5,4,N/A,3,N/A,5,3,N/A,N/A,4,3,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
781,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A
782,5,3,4,5,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
783,5,3,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
785,4,2,5,1,N/A,N/A,N/A,4,N/A,3,1,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
786,4,2,5,1,N/A,N/A,N/A,4,N/A,3,1,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
787,3,N/A,3,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,3,N/A,5,N/A,4,N/A,N/A,N/A
788,3,4,N/A,4,N/A,4,N/A,N/A,4,4,5,4,4,5,N/A,N/A,N/A,N/A,N/A,4
789,N/A,4,N/A,N/A,4,N/A,5,4,N/A,N/A,4,3,N/A,N/A,4,5,N/A,3,N/A,N/A
790,4,N/A,5,N/A,5,5,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
791,N/A,N/A,N/A,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
792,3,N/A,N/A,N/A,4,N/A,N/A,4,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
797,4,4,4,N/A,3,N/A,5,5,N/A,N/A,2,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A
800,3,2,4,1,1,1,5,4,N/A,N/A,3,5,N/A,N/A,3,2,N/A,N/A,N/A,N/A
803,N/A,5,5,N/A,5,N/A,2,N/A,N/A,N/A,N/A,4,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A
806,4,5,4,N/A,5,N/A,4,5,N/A,N/A,5,5,N/A,3,1,1,N/A,N/A,N/A,N/A
811,N/A,N/A,4,N/A,4,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,3,5,N/A,N/A,N/A,N/A
812,2,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
813,5,N/A,5,4,3,N/A,N/A,5,N/A,N/A,5,5,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A
818,N/A,5,5,N/A,4,N/A,4,3,N/A,N/A,5,5,N/A,N/A,3,4,N/A,N/A,N/A,N/A
819,N/A,N/A,N/A,N/A,4,N/A,4,5,N/A,N/A,N/A,N/A,N/A,5,3,N/A,N/A,N/A,N/A,N/A
823,4,1,4,5,2,5,3,4,3,4,3,3,4,4,5,4,4,3,3,2
824,3,1,5,4,5,3,5,2,2,2,3,3,5,5,5,4,4,5,5,5
825,N/A,1,4,4,4,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2
826,4,4,5,3,4,N/A,N/A,4,N/A,N/A,5,5,N/A,5,3,4,N/A,N/A,N/A,N/A
831,N/A,3,5,N/A,5,N/A,4,3,N/A,N/A,3,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
835,N/A,N/A,4,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
836,4,N/A,5,1,1,N/A,N/A,4,N/A,N/A,5,N/A,5,N/A,3,4,N/A,N/A,N/A,N/A
837,3,3,3,N/A,4,N/A,1,N/A,4,3,N/A,4,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A
838,N/A,N/A,3,N/A,4,N/A,5,5,4,3,4,3,N/A,4,2,5,3,N/A,N/A,N/A
841,5,5,4,N/A,3,N/A,4,5,N/A,N/A,4,N/A,N/A,N/A,3,3,N/A,N/A,N/A,N/A
844,3,4,4,N/A,5,N/A,3,3,N/A,N/A,3,4,N/A,5,1,N/A,N/A,N/A,N/A,N/A
845,5,5,3,N/A,5,N/A,5,3,N/A,N/A,5,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
847,3,5,N/A,N/A,4,N/A,N/A,5,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
850,N/A,N/A,5,N/A,5,N/A,5,4,N/A,N/A,4,4,5,N/A,N/A,5,N/A,N/A,N/A,N/A
851,4,5,5,N/A,5,N/A,5,5,N/A,N/A,5,N/A,N/A,2,2,2,2,2,2,2
854,4,3,4,N/A,3,N/A,4,4,N/A,N/A,4,4,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A
856,N/A,4,5,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
858,N/A,N/A,N/A,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
859,4,4,4,4,5,N/A,4,5,N/A,N/A,5,4,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A
863,N/A,N/A,3,N/A,3,N/A,5,4,N/A,N/A,3,3,N/A,3,4,5,N/A,N/A,N/A,N/A
865,N/A,N/A,4,4,4,N/A,3,3,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
866,5,N/A,4,N/A,5,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
868,5,1,5,1,5,1,1,5,1,1,5,1,1,1,4,4,1,1,1,1
875,5,N/A,4,N/A,5,N/A,5,4,N/A,N/A,N/A,N/A,N/A,4,3,5,4,4,4,4
880,1,1,2,3,4,2,2,4,3,3,3,2,2,5,5,3,3,4,2,5
881,5,4,4,N/A,4,N/A,3,5,3,4,4,3,3,4,3,5,4,4,N/A,3
886,N/A,N/A,5,N/A,5,N/A,3,4,N/A,N/A,3,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
887,4,4,5,3,3,3,5,4,3,3,3,3,3,3,1,3,3,3,3,3
888,4,5,5,N/A,4,N/A,5,5,N/A,N/A,N/A,N/A,N/A,4,5,4,N/A,N/A,N/A,N/A
891,N/A,N/A,5,N/A,5,N/A,5,3,3,N/A,N/A,5,4,4,4,4,N/A,3,1,2
896,3,5,5,3,4,3,3,5,4,4,5,5,4,4,2,5,4,3,3,3
901,5,5,5,5,N/A,N/A,4,5,N/A,5,N/A,N/A,N/A,5,5,N/A,4,4,4,N/A
907,N/A,4,4,N/A,5,N/A,4,5,N/A,N/A,4,4,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A
917,N/A,4,5,N/A,2,N/A,3,4,3,2,5,N/A,N/A,4,5,5,5,N/A,N/A,N/A
918,5,5,5,N/A,5,N/A,4,5,N/A,N/A,4,4,N/A,N/A,2,2,N/A,N/A,N/A,N/A
920,5,3,5,N/A,4,N/A,5,5,4,N/A,3,4,N/A,3,4,4,N/A,N/A,N/A,3
923,N/A,N/A,5,N/A,4,N/A,3,5,N/A,N/A,3,5,N/A,N/A,4,4,N/A,N/A,N/A,N/A
924,N/A,N/A,5,N/A,N/A,N/A,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
925,N/A,N/A,4,N/A,5,N/A,5,4,N/A,N/A,N/A,N/A,N/A,N/A,4,5,N/A,N/A,N/A,N/A
927,N/A,5,N/A,3,4,3,4,4,N/A,2,2,3,3,3,2,3,3,3,4,4
929,4,N/A,5,N/A,5,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
930,4,4,4,4,5,N/A,4,4,3,N/A,N/A,N/A,4,4,4,3,4,3,4,5
931,4,4,5,4,5,N/A,4,4,3,3,4,N/A,N/A,4,4,3,N/A,4,4,4
932,5,5,5,N/A,N/A,N/A,3,4,N/A,N/A,3,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
933,4,5,4,N/A,4,4,3,4,4,N/A,1,5,4,4,1,4,N/A,N/A,N/A,N/A
934,N/A,5,N/A,N/A,N/A,N/A,4,2,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
936,3,4,5,N/A,3,5,3,4,N/A,N/A,3,5,N/A,N/A,3,5,N/A,N/A,N/A,N/A
937,N/A,N/A,2,N/A,5,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
938,3,4,5,N/A,N/A,N/A,3,4,5,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
939,4,5,5,3,4,3,3,4,3,3,4,3,3,3,3,4,4,3,3,3
942,N/A,5,N/A,N/A,4,N/A,3,4,N/A,N/A,4,N/A,N/A,5,N/A,3,N/A,N/A,N/A,N/A
943,4,N/A,4,N/A,4,4,4,N/A,N/A,N/A,4,N/A,3,N/A,N/A,4,N/A,N/A,N/A,N/A
944,4,N/A,5,N/A,5,5,N/A,5,N/A,N/A,3,N/A,N/A,N/A,4,4,N/A,N/A,N/A,2
945,5,5,4,N/A,N/A,N/A,4,4,N/A,N/A,4,4,4,5,2,5,N/A,N/A,N/A,N/A
950,4,5,5,N/A,4,N/A,3,4,N/A,N/A,4,5,N/A,4,1,3,N/A,N/A,N/A,N/A
951,1,N/A,5,N/A,N/A,N/A,4,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
954,4,5,5,4,5,4,4,4,N/A,4,4,3,4,3,3,3,3,3,3,3
959,N/A,N/A,N/A,N/A,4,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
961,4,4,4,N/A,4,N/A,4,4,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
973,4,N/A,3,N/A,5,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,5,3,N/A,N/A,N/A,N/A
978,N/A,5,4,N/A,3,N/A,3,4,N/A,N/A,2,4,N/A,2,1,3,N/A,1,N/A,N/A
982,4,N/A,N/A,N/A,5,N/A,5,3,N/A,N/A,2,N/A,3,5,3,3,N/A,N/A,N/A,N/A
983,N/A,5,5,3,3,N/A,4,3,N/A,N/A,3,N/A,N/A,N/A,2,3,N/A,N/A,N/A,N/A
984,3,4,4,4,4,5,N/A,N/A,N/A,3,4,3,N/A,4,4,4,5,N/A,N/A,N/A
985,1,3,3,2,4,1,4,3,1,1,3,4,1,1,1,1,1,1,1,1
987,5,4,5,4,4,4,4,5,N/A,N/A,5,5,N/A,4,4,5,5,N/A,N/A,N/A
990,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
992,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
993,N/A,5,5,4,5,5,1,3,N/A,5,2,5,4,1,1,5,N/A,N/A,N/A,4
994,N/A,4,N/A,N/A,2,N/A,2,3,N/A,N/A,2,3,N/A,4,2,5,N/A,N/A,N/A,N/A